Show the contents of the id[ ] array and the number of times the array is accessed for each input pair when you use quick-find, quick-union, weighted quick-union, weighted quick-union path compression, for the sequence of inputs 9-0 3-4 5-8 7-2 2-1 5-7 0-3 4-2.
Quick find      
	0	1	2	3	4	5	6	7	8	9
9-0	0	1	2	3	4	5	6	7	8	0
3-4	0	1	2	4	4	5	6	7	8	0
5-8	0	1	2	4	4	8	6	7	8	0
7-2	0	1	2	4	4	8	6	2	8	0
2-1	0	1	1	4	4	8	6	1	8	0
5-7	0	1	1	4	4	1	6	1	1	0
0-3	1	4	1	4	4	1	6	1	1	4
4-2	1	1	1	1	1	1	6	1	1	1
Quick Union
	0	1	2	3	4	5	6	7	8	9
9-0	0	1	2	3	4	5	6	7	8	0
3-4	0	1	2	4	4	5	6	7	8	0
5-8	0	1	2	4	4	8	6	7	8	0
7-2	0	1	2	4	4	8	6	2	8	0
2-1	0	1	1	4	4	8	6	2	8	0
5-7	0	1	1	4	4	8	6	2	1	0
0-3	4	1	1	4	4	8	6	2	1	0
4-2	4	1	1	4	4	8	6	2	1	0

Quick Union Weighted
	0	1	2	3	4	5	6	7	8	9
9-0	0	1	2	3	4	5	6	7	8	0
3-4	0	1	2	4	4	5	6	7	8	0
5-8	0	1	2	4	4	8	6	7	8	0
7-2	0	1	2	4	4	8	6	2	8	0
2-1	0	2	2	4	4	8	6	2	8	0
5-7	0	2	2	4	4	8	6	2	2	0
0-3	4	2	2	4	4	8	6	2	2	0
4-2	4	2	2	4	2	8	6	2	2	0

Quick Union Weighted Compression
	0	1	2	3	4	5	6	7	8	9
9-0	0	1	2	3	4	5	6	7	8	0
3-4	0	1	2	4	4	5	6	7	8	0
5-8	0	1	2	4	4	8	6	7	8	0
7-2	0	1	2	4	4	8	6	2	8	0
2-1	0	2	2	4	4	8	6	2	8	0
5-7	0	2	2	4	4	8	6	2	2	0
0-3	 4	2	2	4	4	8	6	2	2	4
4-2	 2	2	2	2	2	8	6	2	2	2

